Blank OD is 14.6332
Time OD Volume Z Media ODpost
35338.59 0.5000 0.5061 686.1446 667.7954 1.0 0.5102
35452.77 0.5000 0.5029 676.7052 667.9415 1.0 0.4982
35566.99 0.5000 0.5089 695.1779 668.3880 1.0 0.5166
35681.31 0.5000 0.5139 710.8977 669.0849 1.0 0.4956
35795.53 0.5000 0.5000 668.9796 669.0831 1.0 0.4860
35909.80 0.5000 0.5006 670.9296 669.1134 1.0 0.4978
36024.06 0.5000 0.5074 691.7800 669.4850 1.0 0.4933
36138.34 0.5000 0.5142 712.9107 670.1969 1.0 0.4964
36252.61 0.5000 0.5087 696.8099 670.6332 1.0 0.5016
36366.88 0.5000 0.5152 716.8753 671.3912 1.0 0.4996
36481.15 0.5000 0.5210 735.5303 672.4427 1.0 0.5269
36595.47 0.5000 0.5178 726.7952 673.3337 1.0 0.5018
36709.79 0.5000 0.5172 725.7333 674.1927 1.0 0.5005
36824.10 0.5000 0.5152 720.6162 674.9538 1.0 0.5014
36938.41 0.5000 0.5153 721.7115 675.7203 1.0 0.5011
37052.68 0.5000 0.5174 728.7390 676.5895 1.0 0.5152
37166.93 0.5000 0.5051 692.1667 676.8448 1.0 0.4925
37281.20 0.5000 0.5101 707.7740 677.3519 1.0 0.4929
37395.43 0.5000 0.5128 716.3646 677.9914 1.0 0.4904
37509.70 0.5000 0.5146 722.5015 678.7211 1.0 0.4939
37623.95 0.5000 0.5062 697.7193 679.0325 1.0 0.5083
37738.14 0.5000 0.5125 717.1790 679.6579 1.0 0.5037
37852.42 0.5000 0.5104 711.3412 680.1773 1.0 0.4955
37966.67 0.5000 0.5147 724.9287 680.9109 1.0 0.5016
38080.85 0.5000 0.5148 726.1764 681.6530 1.0 0.4957
38195.16 0.5000 0.5068 702.4587 681.9940 1.0 0.4998
38309.43 0.5000 0.5097 711.4956 682.4777 1.0 0.4934
38423.70 0.5000 0.5136 723.9737 683.1579 1.0 0.5150
38537.93 0.5000 0.5064 702.5912 683.4765 1.0 0.4906
38652.24 0.5000 0.5121 720.3273 684.0806 1.0 0.4973
38766.43 0.5000 0.5051 699.7304 684.3372 1.0 0.5076
38880.70 0.5000 0.5064 703.9281 684.6583 1.0 0.4926
38995.00 0.5000 0.5068 705.5272 685.0005 1.0 0.4937
39109.27 0.5000 0.5040 697.1781 685.2001 1.0 0.4888
39223.58 0.5000 0.5117 721.0355 685.7876 1.0 0.4961
39337.90 0.5000 0.5095 714.8791 686.2645 1.0 0.4855
39452.22 0.5000 0.5025 693.9941 686.3912 1.0 0.5117
39566.54 0.5000 0.5010 689.4642 686.4416 1.0 0.4835
39680.85 0.5000 0.5052 702.2734 686.7011 1.0 0.4797
39795.12 0.5000 0.4950 671.5977 686.4535 1.0 0.4779
39909.39 0.5000 0.4905 657.3305 685.9761 1.0 0.4720
40023.66 0.5000 0.4911 658.8214 685.5309 1.0 0.4817
40137.93 0.5000 0.4947 669.4282 685.2669 1.0 0.4759
